Transaction_Date,Type,Description,Amount,Category
2024-01-05,Income,Website Development Project,12500,Revenue
2024-01-08,Expense,Cloud Hosting Services,450,Technology
2024-01-12,Income,Mobile App Development,18000,Revenue
2024-01-15,Expense,Freelancer Payment,3500,Contractor
2024-01-18,Income,Consulting Services,8000,Revenue
2024-01-22,Expense,Software Subscriptions,890,Technology
2024-01-25,Expense,Office Rent,2500,Rent
2024-01-28,Income,Maintenance Contract,5500,Revenue
2024-02-03,Income,E-commerce Platform,22000,Revenue
2024-02-06,Expense,Marketing - Google Ads,1200,Marketing
2024-02-10,Expense,Insurance Premium,850,Insurance
2024-02-14,Income,API Integration Project,9500,Revenue
2024-02-18,Expense,Professional Development,650,Training
2024-02-22,Expense,Office Supplies,320,Supplies
2024-02-25,Expense,Office Rent,2500,Rent
2024-02-28,Income,Support Services,4200,Revenue
2024-03-04,Income,Database Migration,15000,Revenue
2024-03-08,Expense,Cloud Services,520,Technology
2024-03-12,Income,Security Audit,11000,Revenue
2024-03-15,Expense,Freelancer Payment,4200,Contractor
2024-03-19,Income,Custom Plugin Development,7800,Revenue
2024-03-22,Expense,Internet & Phone,280,Utilities
2024-03-25,Expense,Office Rent,2500,Rent
2024-03-28,Income,Training Workshop,3500,Revenue
2024-04-02,Income,Enterprise Web App,28000,Revenue
2024-04-06,Expense,Marketing - Social Media,980,Marketing
2024-04-10,Income,Legacy System Upgrade,19500,Revenue
2024-04-14,Expense,Software Licenses,1450,Technology
2024-04-18,Income,Mobile App Update,8500,Revenue
2024-04-22,Expense,Accounting Services,750,Professional Services
2024-04-25,Expense,Office Rent,2500,Rent
2024-04-29,Income,Consulting Package,6800,Revenue
2024-05-03,Income,CRM Integration,24000,Revenue
2024-05-07,Expense,Cloud Infrastructure,680,Technology
2024-05-11,Income,UI/UX Redesign,13500,Revenue
2024-05-15,Expense,Freelancer Payment,5200,Contractor
2024-05-19,Income,Performance Optimization,9200,Revenue
2024-05-23,Expense,Business Insurance,920,Insurance
2024-05-25,Expense,Office Rent,2500,Rent
2024-05-29,Income,API Development,7500,Revenue
2024-06-02,Income,E-learning Platform,31000,Revenue
2024-06-06,Expense,Marketing Campaign,1850,Marketing
2024-06-10,Income,Data Analytics Dashboard,16500,Revenue
2024-06-14,Expense,Professional Subscriptions,580,Technology
2024-06-18,Income,Mobile App Feature,10500,Revenue
2024-06-22,Expense,Equipment Maintenance,420,Maintenance
2024-06-25,Expense,Office Rent,2500,Rent
2024-06-28,Income,Support & Maintenance,5200,Revenue
2024-07-03,Income,Enterprise Solution,35000,Revenue
2024-07-07,Expense,Cloud Services,750,Technology
2024-07-11,Income,Payment Gateway Integration,12000,Revenue
2024-07-15,Expense,Contractor Fees,6500,Contractor
2024-07-19,Income,Website Redesign,14500,Revenue
2024-07-23,Expense,Software Tools,1120,Technology
2024-07-25,Expense,Office Rent,2500,Rent
2024-07-29,Income,Consulting Services,8800,Revenue
2024-08-02,Income,SaaS Platform Development,42000,Revenue
2024-08-06,Expense,Digital Marketing,2100,Marketing
2024-08-10,Income,Mobile Commerce App,18500,Revenue
2024-08-14,Expense,Legal Consultation,1200,Professional Services
2024-08-18,Income,System Integration,15500,Revenue
2024-08-22,Expense,Office Utilities,380,Utilities
2024-08-25,Expense,Office Rent,2500,Rent
2024-08-29,Income,Training Services,6200,Revenue
2024-09-03,Income,AI Integration Project,38000,Revenue
2024-09-07,Expense,Cloud Infrastructure,820,Technology
2024-09-11,Income,Blockchain Solution,21000,Revenue
2024-09-15,Expense,Freelance Developers,7200,Contractor
2024-09-19,Income,Data Migration,13200,Revenue
2024-09-23,Expense,Insurance Renewal,980,Insurance
2024-09-25,Expense,Office Rent,2500,Rent
2024-09-28,Income,Maintenance Contracts,7500,Revenue
